name,smiles,source,ROMol,hbondd_HIS_268_A,hydroph_PHE_267_A,hydroph_LEU_328_A,hydroph_ASP_339_A,hydroph_LYS_196_A,hydroph_VAL_204_A,hbonda_ALA_266_A,hbonda_LYS_325_A,hydroph_ALA_197_A,hydroph_ALA_215_A,hydroph_THR_265_A,hydroph_LYS_325_A,hydroph_LYS_217_A,hydroph_LEU_245_A,hbonda_HIS_268_A,saltbridge_ASP_339_A,hbondd_LYS_323_A,hbonda_ASP_339_A,pication_LYS_325_A,hydroph_PHE_201_A,hbondd_SER_272_A,hbondd_ASN_326_A,hbondd_LYS_325_A,hydroph_ALA_338_A,hbondd_LYS_278_A,hbonda_ASP_275_A,hydroph_THR_274_A,saltbridge_ASP_275_A,hbonda_ASN_326_A,hbondd_LYS_196_A,hbondd_ASP_339_A,hbonda_LYS_196_A,hbonda_GLU_230_A,saltbridge_LYS_325_A,hbondd_ARG_198_A,hbonda_SER_272_A,saltbridge_GLU_230_A,hbondd_THR_265_A,hbonda_ASP_321_A,hbonda_ARG_198_A,hbondd_ARG_200_A,hbondd_LYS_217_A,saltbridge_GLU_194_A,hydroph_GLU_194_A,cluster
BJFS_VINA,COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d9a0>,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9
TZX_8C7Z,COc1cc(-c2cncc3c2CCOc2cc(N4CCNCC4)ccc2-3)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43dbd0>,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7
CUIH_VINA,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S([NH-])(=O)=O,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43de00>,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
QHKY_VINA,[O-]c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43de70>,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
U0C_8C7W,COc1cc(-c2cncc3c2CN(C)Cc2cc(N4CCNCC4)ccc2-3)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43da80>,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7
844_4BGG,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d700>,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
VAAR_VINA,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d7e0>,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
A1A29_9D8E,COc1cc(-c2nc3ccc(C(=O)NCCCN(C)C)cc3n2C2CCC2)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d690>,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
507_3OOM,CC(=O)c1cccc(-c2cnc3ccc(NC4CCOCC4)nn23)c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d850>,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8
IAYG_VINA,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@@H]1CCC[NH2+]C1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d8c0>,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,8
QWQ_7A21,COc1cc(-c2cncc(-c3ccc(CN4CCCC4)cc3)c2C)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d5b0>,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5
A1A3D_9D8Z,CNC(=O)[C@H]1C[C@H](n2c(-c3cc(OC)c(OC)c(OC)c3)nc3ccc(C(=O)NCC4CCN(C)CC4)cc32)C1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e500>,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
C87_7NNS,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e5e0>,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
9TO_6ACR,COc1ccc(Nc2nccc(-c3c[nH]nc3-c3cccnc3)n2)cc1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e960>,True,True,True,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
B4E_5OY6,Clc1cc2cc(c1)-c1cnn3ccc(nc13)NCCOCCO2,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43fd10>,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
A3F_6EIX,COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43fae0>,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
7IO_8POD,c1ccc2c(-c3coc4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f990>,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6
YZDJ_VINA,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f6f0>,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
ANP_6UNQ,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f680>,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,3
BIIV_VINA,CN1CC[C@H](c2c([O-])cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f610>,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,8
YYLK_VINA,O=C(c1ccc(C=Cc2[n-]nc3ccccc23)cc1)[NH+]1CCNCC1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f5a0>,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4
FH0_7C3G,CN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccnc5)nn5c4COCC5)n3)cc2)CC1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f530>,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
ZBNZ_VINA,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43d380>,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8
E26_6I1S,CCNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43ec00>,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,8
KDKU_VINA,[NH-]S(=O)(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0d620>,False,True,True,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
IR2_6GIN,O=c1c2cc(-c3ccnc4ccccc34)ccc2ncn1-c1ccc(N2CCOCC2)cc1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0cdd0>,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6
MVE_6T8N,CCOC1(c2ccc(-c3cc4c(N5CCN(C(=O)C6CC6)CC5)ccnn4c3)nc2)CCN(C(C)C)CC1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c350>,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
RITA_VINA,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)[nH]nc2c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c200>,False,False,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
EZB_6GI6,Cc1c(-c2cccc3ncccc23)ccc2nc[nH]c(=O)c12,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c970>,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6
YEE_8R7G,COc1cc(-c2cncc(-c3ccc(N4CCN(C(C)C)CC4)cc3)c2C)cc(F)c1C(N)=O,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c2e0>,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,5
Q5Z_6Z36,COc1cc(-c2cncc(-c3ccc(C4CCNCC4)cc3)c2C)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c040>,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
A1A3C_9D8F,CNC(=O)[C@H]1C[C@H](n2c(-c3cc(OC)c(OC)c(OC)c3)nc3ccc(C(=O)NCCCN(C)C)cc32)C1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0ca50>,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1
MM8_6T6D,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2C)ccc1C(N)=O,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c660>,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,5
IYZ_4DYM,CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0c580>,True,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8
TAK_3H9R,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0cc10>,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,6
5U6_6TN8,COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30ae0d700>,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,9
